region_code,region_name,dept_code,distr_code,code,name,population,average_age
44,Grand-Est,8,3,138,Les Deux-Villes,271,41.1
76,Occitanie,9,2,238,Les Pujols,776,41.2
76,Occitanie,9,1,239,Qu̩rigut,143,41.9
76,Occitanie,9,1,240,Qui̩,300,41.6
76,Occitanie,9,1,241,Rabat-les-Trois-Seigneurs,357,40.3
76,Occitanie,9,1,242,Raissac,44,40.6
76,Occitanie,9,2,243,R̩gat,90,40.4
76,Occitanie,9,2,244,Rieucros,683,41.9
76,Occitanie,9,3,246,Rimont,547,40.9
76,Occitanie,9,3,247,Riv̬renert,194,41.2
76,Occitanie,9,1,249,Roquefixade,154,41
76,Occitanie,9,1,250,Roquefort-les-Cascades,94,40
76,Occitanie,9,2,251,Roumengoux,180,40.3
76,Occitanie,9,1,252,Rouze,86,41.3
76,Occitanie,9,2,253,Sabarat,336,40.3
76,Occitanie,9,2,254,Saint-Amadou,264,40.9
76,Occitanie,9,2,255,Saint-Amans,45,41
76,Occitanie,9,2,256,Saint-Bauzeil,64,42
76,Occitanie,9,2,258,Saint-F̩lix-de-Rieutord,467,40.8
76,Occitanie,9,2,259,Saint-F̩lix-de-Tournegat,144,41.6
76,Occitanie,9,1,262,Saint-Jean-d'Aigues-Vives,405,41.6
76,Occitanie,9,3,263,Saint-Jean-du-Castillonnais,25,41.9
76,Occitanie,9,2,266,Saint-Julien-de-Gras-Capou,60,40.4
76,Occitanie,9,3,267,Saint-Lary,134,40.1
76,Occitanie,9,2,270,Saint-Martin-d'Oydes,258,40.1
76,Occitanie,9,1,269,Saint-Martin-de-Caralp,359,40.9
76,Occitanie,9,2,271,Saint-Michel,78,40
76,Occitanie,9,1,273,Saint-Pierre-de-Rivi̬re,651,40.7
76,Occitanie,9,2,274,Saint-Quentin-la-Tour,342,41.3
76,Occitanie,9,2,275,Saint-Quirc,396,40.6
76,Occitanie,9,2,276,Saint-Victor-Rouzaud,239,41.8
76,Occitanie,9,2,277,Saint-Ybars,646,41.1
76,Occitanie,9,3,257,Sainte-Croix-Volvestre,652,41.9
76,Occitanie,9,2,260,Sainte-Foi,23,40.7
76,Occitanie,9,2,342,Sainte-Suzanne,238,41
76,Occitanie,9,3,279,Salsein,45,41
76,Occitanie,9,1,280,Saurat,666,41.1
76,Occitanie,9,1,281,Sautel,110,41.1
76,Occitanie,9,1,283,Savignac-les-Ormeaux,413,41.4
76,Occitanie,9,2,284,S̩gura,182,42
76,Occitanie,9,3,285,Seix,726,41
76,Occitanie,9,1,286,Sem,24,41.2
76,Occitanie,9,1,287,Senconac,10,40.8
76,Occitanie,9,3,290,Sentein,158,40.7
76,Occitanie,9,3,291,Sentenac-d'Oust,111,40.3
76,Occitanie,9,1,292,Sentenac-de-S̩rou,39,42
76,Occitanie,9,1,293,Serres-sur-Arget,804,40.2
76,Occitanie,9,2,294,Sieuras,78,40.8
76,Occitanie,9,1,295,Siguer,102,41.8
76,Occitanie,9,1,296,Sinsat,117,40.2
76,Occitanie,9,3,297,Sor,31,40.2
76,Occitanie,9,1,298,Sorgeat,91,42
76,Occitanie,9,3,299,Soueix-Rogalle,424,41.3
76,Occitanie,9,1,300,Soula,196,40.6
76,Occitanie,9,3,301,Soulan,361,40.6
76,Occitanie,9,1,302,Suc-et-Sentenac,48,40.5
76,Occitanie,9,1,303,Surba,357,41.6
76,Occitanie,9,1,304,Suzan,23,40.9
76,Occitanie,9,2,305,Tabre,381,40.7
76,Occitanie,9,3,307,Taurignan-Castet,182,40.9
76,Occitanie,9,3,308,Taurignan-Vieux,211,40.4
76,Occitanie,9,2,309,Teilhet,153,40.8
76,Occitanie,9,2,310,Thouars-sur-Arize,54,41.6
76,Occitanie,9,1,311,Tignac,24,42
76,Occitanie,9,3,313,Tourtouse,186,40
76,Occitanie,9,2,314,Tourtrol,271,40.7
76,Occitanie,9,2,315,Tr̩moulet,121,40.5
76,Occitanie,9,2,316,Troye-d'Ari̬ge,95,40.2
76,Occitanie,9,3,317,Uchentein,20,40.9
76,Occitanie,9,1,318,Unac,119,41
76,Occitanie,9,2,319,Unzent,127,41.2
76,Occitanie,9,1,320,Urs,35,40
76,Occitanie,9,1,321,Ussat,351,42
76,Occitanie,9,3,322,Ustou,322,40.6
76,Occitanie,9,2,323,Vals,94,41.2
